0,ACEM ASOCIACION CIVIL ESCLEROSIS MULTIPLE CORDOBA
1,ACIPIDIM - CENTRO EDUCATIVO TERAPEUTICO
2,ACONCAGUA SANATORIO PRIVADO
3,AIRE ATENCION  INTEGRAL Y REHABILITACION S.R.L.
4,ALDABA CENTRO DE ATENCION
5,ALMENARA CENTRO INTEGRAL DE NEUROCIENCIAS
6,ALOUETTE CENTRO DE DIA Y CENTRO DE REHABILITACION
7,ALUBA - ASOCIACION DE LUCHA CONTRA LA BULIMIA Y ANOREXIA
8,ALUMINE - CENTRO DE DIA CON INTEGRACIONES ESCOLARES
9,ALUMINE - CENTRO DE REHABILITACION DE ADICCIONES
10,AMI ASISTENCIA MEDICA INTEGRAL PRIVADA S.A.
11,AMPARAR INTERNACION DOMICILIARIA
12,AMUN CENTRO DE REHABILITACION CON INTEGRACION ESCOLAR
13,APADRO ASOCIACION DE PADRES Y AMIGOS PARA EL DIAGNOSTICO
14,APS MUNICIPAL
15,APUKAY CENTRO DE DIA
16,AR SALUD CMP ( DIVISION TRASLADOS ) SERVICIO DE EMERGENCIA Y TRASLADOS
17,AREA SALUD CLUB SAN JORGE
18,ASISTENCIA MEDICA PRIVADA S.R.L.
19,ASISTENCIA MUNICIPAL DR. ATILIO TULA SORIA
20,ASISTENCIA PUBLICA DR. ARMANDO LEONELLI
21,ASISTENCIA PUBLICA MUNICIPAL
22,ASISTENCIA PUBLICA MUNICIPAL
23,ASISTENCIA PUBLICA MUNICIPAL DE SAN FRANCISCO
24,ASOCIACION CIVIL HOSPITAL PARA LA COMUNIDAD DE ARIAS DR .JUAN P. CABRINI
25,ASOCIACION CIVIL ODONTOLOGICA CORDOBA
26,ASOCIACION NAZARETH
27,ASOCIACION NAZARETH CASA ESPERANZA
28,ATENCION DOMICILIARIA PERLORO S.A
29,ATERYM - SERVICIO DE NEFROLOGIA HOSPITAL MILITAR CORDOBA
30,ATERYM ALTA GRACIA PRIVADO
31,BANCO CENTRAL DE SANGRE DE LA PROVINCIA DE CORDOBA
32,BEAUTY BODY SPA URBANO
33,BIO CENTRO MEDICO
34,BOCKUS S.A - CENTRO DE SALUD DIGESTIVA
35,C.E.A.L. CENTRO DE REHABILITACION DE AUDICION Y LENGUAJE
36,C.E.C EMERGENCIAS - RIO CEBALLOS
37,C.E.P.E.R  SAN FRANCISCO S.R.L UNIDAD RENAL ARROYITO
38,C.E.P.E.R - SAN FRANCISCO S.R.L - UNIDAD RENAL LAS VARILLAS
39,C.E.R.H. RIO III PRIVADO SRL
40,C.I.R CENTRO INTERDISCIPLINARIO DE REHABILITACION CON INTEGRACION ESCOLAR
41,CAI-CENTRO PRIVADO EDUCATIVO TERAPEUTICO CON INTEGRACION ESCOLAR
42,CAPRIN Nº 1 LA POLINESIA
43,CAPRIN Nº 2 TARUGUITO ALEJO ROMERO EL CONDOR
44,CAPRIN Nº 3 BARRIO LOMAS
45,CAPS ALMA ATA
46,CAPS BELGRANO
47,CAPS BELLO HORIZONTE
48,CAPS CAMINO SAN CARLOS
49,CAPS CARLOS PELLEGRINI
50,CAPS CENTRO INTEGRAL MATERNO INFANTIL CECILIA GRIERSON
51,CAPS CIUDAD AMPLIACION FERREYRA
52,CAPS CIUDAD DE LOS CUARTETOS
53,CAPS CIUDAD DE LOS NIÑOS
54,CAPS CIUDAD DE MIS SUEÑOS
55,CAPS CIUDAD EVITA
56,CAPS CIUDAD OBISPO ANGELELLI
57,CAPS CIUDAD VILLA RETIRO
58,CAPS COPACABANA
59,CAPS CUIDAD AMPLIACION CABILDO
60,CAPS DR. JOSE BREGANTE
61,CAPS DR. NORBERTO RAUL PERALTA
62,CAPS DR. OSTROVSKY
63,CAPS DRA. CECILIA GRIENSON
64,CAPS E - 100
65,CAPS EBERTO TORRES (EX DISPENSARIO PUBLICO V° YACANTO)
66,CAPS EL CHINGOLO
67,CAPS ESTEBAN MARADONA
68,CAPS GENERAL ROCA
69,CAPS GENERAL SAVIO
70,CAPS IGNACIO TISERA (EX DISPENSARIO MUNICIPAL)
71,CAPS JUAN PABLO II
72,CAPS LAS ACACIAS
73,CAPS LAS PLAYAS
74,CAPS LOS OLMOS
75,CAPS LUZ DE VIDA
76,CAPS MAQUINISTA GALLINI
77,CAPS MARIA C. BACTAGLIERO
78,CAPS MI ESPERANZA
79,CAPS MIRIZZI
80,CAPS MONTE RALO
81,CAPS NOETINGER
82,CAPS PARQUE ITUZAINGO
83,CAPS PARQUE LAS ROSAS
84,CAPS RENACIMIENTO
85,CAPS RIVADAVIA
86,CAPS ROQUE SAENZ PEÑA
87,CAPS SAN JUSTO
88,CAPS SAN ROQUE VIEJO
89,CAPS SOL NACIENTE
90,CAPS VILLA BOEDO
91,CAPS VILLA CIUDAD PARQUE
92,CAPS YOFRE SUR
93,CAPS ZEPA A
94,CARDEA  - CENTRO PRIVADO INTERDISCIPLINARIO DE REHABILITACION NEUROLOGICA
95,CARDIOMED EMERGENCIAS MEDICAS
96,CARDIOVASCULAR PRIVADO MARCOS JUARESZ  S.R.L
97,CARRILET CENTRO EDUCATIVO TERAPEUTICO PRIVADO CON APOYO A LA INTEGRACION ESCOLAR
98,CASA DE LA BONDAD
99,CATE.PSI - CENTRO PRIVADO DE ATENCION TERAPEUTICA
